target,percentile,is_frozen_operating_point,n_origins,true_positive,false_positive,false_negative,true_negative,n_fired,median_surge_lead_time,min_surge_lead_time,max_surge_lead_time,false_positive_rate,false_negative_rate,precision
Children in HHS Care,75,False,65,16,0,5,44,16,1.0,1,1,0.0,0.10204081632653061,1.0
Children in HHS Care,80,False,65,15,1,5,44,16,1.0,1,1,0.0625,0.10204081632653061,0.9375
Children in HHS Care,85,False,65,15,0,4,46,15,1.0,1,1,0.0,0.08,1.0
Children in HHS Care,90,True,65,13,0,6,46,13,1.0,1,1,0.0,0.11538461538461539,1.0
Children in HHS Care,95,False,65,11,0,7,47,11,1.0,1,1,0.0,0.12962962962962962,1.0
Children discharged from HHS Care,75,False,65,8,0,42,15,8,1.0,1,3,0.0,0.7368421052631579,1.0
Children discharged from HHS Care,80,False,65,5,0,43,17,5,1.0,1,5,0.0,0.7166666666666667,1.0
Children discharged from HHS Care,85,False,65,3,0,36,26,3,2.0,1,3,0.0,0.5806451612903226,1.0
Children discharged from HHS Care,90,True,65,2,0,30,33,2,2.5,2,3,0.0,0.47619047619047616,1.0
Children discharged from HHS Care,95,False,65,1,0,20,44,1,13.0,13,13,0.0,0.3125,1.0
