target,horizon,model,is_champion,champion,origin_pos,origin_date,forecast_pos,point_forecast,lower,lower_unclipped,clipped_at_zero,upper,interval_width,n_residuals,interval_sufficient,interval_note,nominal_coverage,train_start_pos,train_n_positions
Children discharged from HHS Care,1,naive,True,naive,768,2025-12-21,769,14.0,6.05,6.05,False,24.0,17.95,15,True,,0.95,540,229
Children discharged from HHS Care,1,ensemble,False,naive,768,2025-12-21,769,15.273950642218852,4.757398588067145,4.757398588067145,False,26.55782389662715,21.80042530856,15,True,,0.95,540,229
Children discharged from HHS Care,1,exponential_smoothing,False,naive,768,2025-12-21,769,9.756830376857359,4.686332319106083,4.686332319106083,False,24.706930089849987,20.020597770743905,15,True,,0.95,540,229
Children discharged from HHS Care,1,gradient_boosting,False,naive,768,2025-12-21,769,20.791070907580345,2.5937963768575045,2.5937963768575045,False,29.650950697347113,27.05715432048961,15,True,,0.95,540,229
Children discharged from HHS Care,1,moving_average,False,naive,768,2025-12-21,769,10.571428571428571,0.0,-7.920238095238096,True,20.75,20.75,15,True,,0.95,540,229
Children discharged from HHS Care,1,random_forest,False,naive,768,2025-12-21,769,12.42881912852822,0.0,-33.98886562578551,True,17.731311653686678,17.731311653686678,15,True,,0.95,540,229
Children discharged from HHS Care,1,sarima,False,naive,768,2025-12-21,769,12.158325724122712,1.4530406542047345,1.4530406542047345,False,29.066184676802777,27.613144022598043,15,True,,0.95,540,229
Children discharged from HHS Care,1,seasonal_naive,False,naive,768,2025-12-21,769,7.0,0.0,-26.674999999999997,True,19.124999999999986,19.124999999999986,14,True,,0.95,540,229
Children discharged from HHS Care,7,naive,True,naive,768,2025-12-21,775,14.0,0.0,-5.125,True,39.724999999999994,39.724999999999994,14,True,,0.95,540,229
Children discharged from HHS Care,7,ensemble,False,naive,768,2025-12-21,775,12.267740715738093,0.0,-15.78561224026988,True,31.638110246024226,31.638110246024226,14,True,,0.95,540,229
Children discharged from HHS Care,7,exponential_smoothing,False,naive,768,2025-12-21,775,12.685779560498766,0.0,-9.46592541324003,True,30.71161532875936,30.71161532875936,14,True,,0.95,540,229
Children discharged from HHS Care,7,gradient_boosting,False,naive,768,2025-12-21,775,13.114629828923057,0.0,-32.44798911836141,True,35.510715191155995,35.510715191155995,14,True,,0.95,540,229
Children discharged from HHS Care,7,moving_average,False,naive,768,2025-12-21,775,10.571428571428571,0.0,-7.130952380952381,True,29.417857142857123,29.417857142857123,14,True,,0.95,540,229
Children discharged from HHS Care,7,random_forest,False,naive,768,2025-12-21,775,11.84970187097742,0.0,-30.394324012717775,True,33.43487870623486,33.43487870623486,14,True,,0.95,540,229
Children discharged from HHS Care,7,sarima,False,naive,768,2025-12-21,775,15.648774088471631,0.0,-10.000795368720718,True,33.57138454896379,33.57138454896379,14,True,,0.95,540,229
Children discharged from HHS Care,7,seasonal_naive,False,naive,768,2025-12-21,775,9.0,0.0,-24.799999999999997,True,16.099999999999998,16.099999999999998,13,True,,0.95,540,229
Children discharged from HHS Care,14,seasonal_naive,True,seasonal_naive,768,2025-12-21,782,16.0,1.8500000000000014,1.8500000000000014,False,24.725,22.875,12,True,,0.95,540,229
Children discharged from HHS Care,14,ensemble,False,seasonal_naive,768,2025-12-21,782,15.276855811752792,0.0,-12.253582735287775,True,24.314775523708345,24.314775523708345,14,True,,0.95,540,229
Children discharged from HHS Care,14,exponential_smoothing,False,seasonal_naive,768,2025-12-21,782,17.829432903891348,0.0,-1.3612996009814786,True,30.171532517613578,30.171532517613578,14,True,,0.95,540,229
Children discharged from HHS Care,14,gradient_boosting,False,seasonal_naive,768,2025-12-21,782,12.724278719614238,0.0,-23.14586586959407,True,18.737874348853012,18.737874348853012,14,True,,0.95,540,229
Children discharged from HHS Care,14,moving_average,False,seasonal_naive,768,2025-12-21,782,10.571428571428571,0.0,-11.526785714285717,True,14.932142857142853,14.932142857142853,14,True,,0.95,540,229
Children discharged from HHS Care,14,naive,False,seasonal_naive,768,2025-12-21,782,14.0,0.0,-6.725000000000001,True,27.025,27.025,14,True,,0.95,540,229
Children discharged from HHS Care,14,random_forest,False,seasonal_naive,768,2025-12-21,782,13.036321010523139,0.0,-40.70031409429797,True,19.43585733799317,19.43585733799317,14,True,,0.95,540,229
Children discharged from HHS Care,14,sarima,False,seasonal_naive,768,2025-12-21,782,21.884170560276658,8.888858749481638,8.888858749481638,False,54.77879144391754,45.8899326944359,14,True,,0.95,540,229
Children in HHS Care,1,naive,True,naive,768,2025-12-21,769,2484.0,2458.05,2458.05,False,2510.1,52.04999999999973,15,True,,0.95,540,229
Children in HHS Care,1,ensemble,False,naive,768,2025-12-21,769,2511.962838785812,2442.368797236784,2442.368797236784,False,2522.1582573130054,79.78946007622153,15,True,,0.95,540,229
Children in HHS Care,1,exponential_smoothing,False,naive,768,2025-12-21,769,2493.680966142945,2408.456660866348,2408.456660866348,False,2505.3602658894956,96.90360502314752,15,True,,0.95,540,229
Children in HHS Care,1,gradient_boosting,False,naive,768,2025-12-21,769,2534.698623960069,2408.6673769613617,2408.6673769613617,False,2564.2678229215667,155.60044596020498,15,True,,0.95,540,229
Children in HHS Care,1,moving_average,False,naive,768,2025-12-21,769,2467.714285714286,2326.714285714286,2326.714285714286,False,2521.557142857143,194.84285714285716,15,True,,0.95,540,229
